respondent,gender,region,important,prefer_comma,heard_comma,care_comma,write_following,data_noun,care_data,care_grammar,age,income,education
778,not Male,East North Central,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,28,29591,High school degree
779,Male,Mountain,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,24,18023,Some college or Associate degree
780,not Male,South Atlantic,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,41,51430,Graduate degree
781,not Male,East North Central,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,41,55324,Some college or Associate degree
782,not Male,East North Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,19,73398,Bachelor degree
783,not Male,East North Central,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,27,199632,Bachelor degree
784,Male,Middle Atlantic,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,52,100699,Bachelor degree
785,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,37,88346,Bachelor degree
786,not Male,South Atlantic,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,49,45407,Some college or Associate degree
787,not Male,West North Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,39,92651,Some college or Associate degree
788,not Male,Middle Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,20,21503,Bachelor degree
789,not Male,New England,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,29,114017,Graduate degree
790,not Male,Pacific,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,22,77825,Some college or Associate degree
791,not Male,Mountain,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,36,125611,Graduate degree
792,Male,West North Central,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,59,137203,Graduate degree
793,Male,Mountain,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,48,53782,Bachelor degree
794,Male,Middle Atlantic,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,20,83184,Graduate degree
795,Male,Pacific,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,40,84077,Graduate degree
796,not Male,East North Central,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,32,84859,Graduate degree
797,Male,Pacific,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,50,91338,Bachelor degree
798,Male,Mountain,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,28,22677,Some college or Associate degree
799,Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,48,34270,Graduate degree
800,not Male,East North Central,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,30,44587,Some college or Associate degree
801,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,19,45418,Some college or Associate degree
802,not Male,Mountain,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,43,31953,Bachelor degree
803,not Male,South Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,29,139489,High school degree
804,not Male,Mountain,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,43,65341,Graduate degree
805,Male,West South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,59,174772,Graduate degree
806,not Male,West South Central,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,28,113231,Some college or Associate degree
807,not Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,32,38829,Graduate degree
808,not Male,South Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,43,58128,Bachelor degree
809,not Male,Mountain,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,55,86042,Some college or Associate degree
810,Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,30,69376,Graduate degree
811,not Male,Pacific,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,33,24886,High school degree
812,Male,South Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,49,76171,Some college or Associate degree
813,Male,East North Central,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,19,83005,Some college or Associate degree
814,Male,New England,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,23,64772,Graduate degree
815,Male,East South Central,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,57,95931,High school degree
816,not Male,New England,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,23,60169,High school degree
817,not Male,New England,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,26,26213,High school degree
818,Male,East South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,22,153354,Graduate degree
819,Male,West South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,57,90177,Graduate degree
820,Male,Mountain,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,57,43971,Some college or Associate degree
821,Male,South Atlantic,Yes,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,49,91974,Graduate degree
822,Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,50,163529,Some college or Associate degree
823,not Male,Middle Atlantic,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,40,104721,Bachelor degree
824,Male,South Atlantic,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,55,23660,High school degree
825,Male,Middle Atlantic,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,51,154033,Bachelor degree
826,Male,East South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,54,144390,Bachelor degree
827,Male,South Atlantic,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,36,77878,Bachelor degree
828,not Male,Pacific,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Neutral,25,95176,Some college or Associate degree
829,not Male,South Atlantic,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,25,119258,Graduate degree
830,not Male,Middle Atlantic,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,19,87755,Graduate degree
831,Male,East North Central,Yes,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,40,101261,Bachelor degree
832,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,43,104489,Graduate degree
833,Male,East North Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,24,42677,Graduate degree
834,Male,Pacific,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,47,71746,Some college or Associate degree
835,Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,44,92400,Bachelor degree
836,not Male,West South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,30,22102,Bachelor degree
837,not Male,Mountain,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,42,44555,Bachelor degree
838,Male,East South Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,19,60191,Bachelor degree
839,not Male,West South Central,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,56,71773,Some college or Associate degree
840,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,22,54245,Bachelor degree
841,not Male,Pacific,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,22,49609,Some college or Associate degree
842,Male,West North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,21,124393,Graduate degree
843,not Male,Mountain,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,59,94458,Graduate degree
844,not Male,East North Central,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,58,71344,Some college or Associate degree
845,not Male,South Atlantic,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,46,64679,Bachelor degree
846,not Male,East North Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,22,78968,Bachelor degree
847,not Male,West North Central,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,27,22210,Some college or Associate degree
848,Male,Middle Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,26,140926,High school degree
849,not Male,Middle Atlantic,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,27,72736,Some college or Associate degree
850,Male,Mountain,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,34,61025,Bachelor degree
851,not Male,Mountain,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not at all,Very important,24,55940,High school degree
852,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,25,23654,Some college or Associate degree
853,not Male,South Atlantic,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,36,93033,High school degree
854,Male,Pacific,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,42,101924,Bachelor degree
855,not Male,South Atlantic,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,40,154895,Graduate degree
856,not Male,Mountain,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,26,46115,Bachelor degree
857,not Male,East North Central,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,19,47293,Bachelor degree
858,Male,East South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,51,62110,Graduate degree
859,not Male,Mountain,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,46,59404,Bachelor degree
860,not Male,East North Central,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,52,22048,Graduate degree
861,not Male,Mountain,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,19,54650,Some college or Associate degree
862,not Male,West North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,39,67055,Some college or Associate degree
863,not Male,South Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,50,39586,Some college or Associate degree
864,not Male,Pacific,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,35,84102,Some college or Associate degree
865,Male,Mountain,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,40,43548,Some college or Associate degree
866,not Male,West North Central,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,30,122946,Bachelor degree
867,not Male,Mountain,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,51,44332,Graduate degree
868,Male,Mountain,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,54,111427,Graduate degree
869,not Male,New England,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,23,21318,Bachelor degree
870,not Male,Middle Atlantic,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,31,52850,Bachelor degree
871,not Male,West North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,43,26906,Some college or Associate degree
872,not Male,Pacific,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,52,35087,Bachelor degree
873,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,38,115718,Bachelor degree
874,not Male,Middle Atlantic,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,20,101578,Bachelor degree
875,Male,South Atlantic,No,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,27,109326,Some college or Associate degree
876,not Male,West South Central,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,23,106641,High school degree
877,not Male,East North Central,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,27,83502,High school degree
878,not Male,Mountain,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,37,25612,Bachelor degree
879,not Male,South Atlantic,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,23,88329,Bachelor degree
880,not Male,East North Central,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,59,115083,Some college or Associate degree
881,Male,East North Central,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,32,111429,Bachelor degree
882,Male,West South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,38,68723,Graduate degree
883,Male,East South Central,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Somewhat important,20,92341,High school degree
884,Male,West South Central,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,56,65500,Some college or Associate degree
885,Male,Pacific,No,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,19,44720,Graduate degree
886,Male,West South Central,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,19,74710,Some college or Associate degree
887,Male,Pacific,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,58,19394,Some college or Associate degree
888,Male,Mountain,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,60,36154,Bachelor degree
889,Male,East North Central,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,37,156198,Graduate degree
890,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,28,147748,Graduate degree
891,Male,Pacific,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Neutral,24,22018,Some college or Associate degree
892,Male,New England,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,31,68250,Some college or Associate degree
893,Male,Pacific,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,40,194456,Graduate degree
894,Male,East North Central,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,36,106150,Graduate degree
895,Male,East North Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Somewhat important,25,48054,Some college or Associate degree
896,Male,Pacific,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Neutral,21,64134,Less than high school degree
897,Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,24,88649,Some college or Associate degree
898,not Male,Pacific,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,26,75959,Some college or Associate degree
899,Male,Pacific,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,41,20701,Some college or Associate degree
900,Male,West North Central,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,56,74103,Bachelor degree
901,Male,Pacific,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,28,23652,Some college or Associate degree
902,not Male,South Atlantic,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,45,21021,Some college or Associate degree
903,Male,Pacific,No,Yes,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,35,79988,Some college or Associate degree
904,not Male,Pacific,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not at all,Very important,24,61195,High school degree
905,not Male,Mountain,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,21,91062,Graduate degree
906,not Male,Pacific,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,23,98023,Graduate degree
907,not Male,East South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,49,23736,Bachelor degree
908,Male,Middle Atlantic,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,27,148836,Bachelor degree
909,Male,Middle Atlantic,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,39,89808,High school degree
910,not Male,East North Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,49,57211,Some college or Associate degree
911,not Male,New England,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,27,96361,Graduate degree
912,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,23,123693,Graduate degree
913,not Male,East North Central,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,24,78218,Graduate degree
914,not Male,New England,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,55,85053,Graduate degree
915,Male,East North Central,No,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,53,73104,Some college or Associate degree
916,not Male,Middle Atlantic,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,45,105706,Some college or Associate degree
917,Male,Middle Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,59,25184,Some college or Associate degree
918,not Male,Middle Atlantic,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,59,78835,High school degree
919,not Male,New England,No,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,54,39062,Some college or Associate degree
920,Male,South Atlantic,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,59,60544,Some college or Associate degree
921,not Male,Mountain,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,19,75282,High school degree
922,Male,West North Central,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,21,120476,Bachelor degree
923,Male,East North Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,52,57031,Some college or Associate degree
924,not Male,South Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,24,50929,Graduate degree
925,not Male,Middle Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,51,61562,Graduate degree
926,Male,Middle Atlantic,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,22,186499,Bachelor degree
927,not Male,East South Central,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,46,35286,High school degree
928,not Male,South Atlantic,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,51,124065,Some college or Associate degree
929,not Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,53,136747,Bachelor degree
930,Male,East North Central,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,51,99094,Graduate degree
931,not Male,South Atlantic,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,45,27666,High school degree
932,not Male,Pacific,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,59,114263,Graduate degree
933,not Male,Middle Atlantic,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,46,22284,Some college or Associate degree
934,Male,South Atlantic,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,42,61694,Bachelor degree
935,Male,East North Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,35,93383,Bachelor degree
936,Male,Middle Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,60,81108,Bachelor degree
937,Male,Middle Atlantic,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,22,91607,Some college or Associate degree
938,Male,South Atlantic,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,24,21744,Graduate degree
939,Male,New England,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,24,167844,Graduate degree
940,Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,27,19060,Some college or Associate degree
941,Male,South Atlantic,No,Yes,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,18,39946,Graduate degree
942,Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,44,99885,Graduate degree
943,Male,West South Central,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,24,99108,Bachelor degree
944,Male,Middle Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,28,24557,Bachelor degree
945,Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,28,53989,Some college or Associate degree
946,Male,South Atlantic,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,28,22024,High school degree
947,Male,West North Central,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,25,90554,Bachelor degree
948,Male,South Atlantic,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,25,88445,Bachelor degree
949,Male,Middle Atlantic,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,34,82519,Some college or Associate degree
950,Male,West North Central,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,26,84644,NA
951,Male,East South Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,19,78751,Graduate degree
952,Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,24,39358,NA
953,Male,Mountain,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,28,92461,Some college or Associate degree
954,Male,West North Central,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,20,37321,High school degree
955,Male,Pacific,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,39,49695,Some college or Associate degree
956,Male,New England,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,27,106737,Graduate degree
957,Male,Middle Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,26,117201,Graduate degree
958,Male,West South Central,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,18,34799,Bachelor degree
959,Male,Middle Atlantic,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,23,24818,Some college or Associate degree
