year,title,reason,test,budget,domestic,international,runtime,votes,metascore,imdb,rating,language,country,writer,director,genre,plot
2010,Cyrus,notalk,fail,7.48,7.98,10.72,91,25887,74,6.3,R,English,USA,"Mark Duplass, Jay Duplass","Jay Duplass, Mark Duplass","Drama, Romance",A divorced guy meets the woman of his dreams. Then he meets her son.
2010,Dinner for Schmucks,notalk,fail,73.71,78.01,92.72,114,64944,56,5.9,PG-13,English,USA,"David Guion (screenplay), Michael Handelman (screenplay), Francis Veber (film ""Le Diner de Cons"")",Jay Roach,Comedy,"When he finds out that his work superiors host a dinner celebrating the idiocy of their guests, a rising executive questions it when he's invited, just as he befriends a man who would be the perfect guest."
2010,Due Date,notalk,fail,69.44,107.4,226.19,95,215748,51,6.6,R,"English, Spanish",USA,"Alan R. Cohen (screenplay), Alan Freedland (screenplay), Adam Sztykiel (screenplay), Todd Phillips (screenplay), Alan R. Cohen (story), Alan Freedland (story)",Todd Phillips,"Comedy, Drama",High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.
2010,Edge of Darkness,notalk,fail,64.09,46.27,86.75,117,62756,55,6.6,R,English,"UK, USA","William Monahan (screenplay), Andrew Bovell (screenplay), Troy Kennedy-Martin (television series)",Martin Campbell,"Crime, Drama, Mystery","As homicide detective Thomas Craven investigates the death of his activist daughter, he uncovers not only her secret life, but a corporate cover-up and government collusion that attracts an agent tasked with cleaning up the evidence."
2010,Everything Must Go,notalk,fail,5.34,2.9,2.9,97,31814,65,6.5,R,English,USA,"Dan Rush, Raymond Carver (short story ""Why Don't You Dance"")",Dan Rush,"Comedy, Drama","When an alcoholic relapses, causing him to lose his wife and his job, he holds a yard sale on his front lawn in an attempt to start over. A new neighbor might be the key to his return to form."
2010,Frozen,notalk,fail,160.23,419.87,1073.09,93,40785,43,6.2,R,English,USA,Adam Green,Adam Green,"Drama, Thriller",Three skiers are stranded on a chairlift and forced to make life-or-death choices that prove more perilous than staying put and freezing to death
2010,Hot Tub Time Machine,notalk,fail,38.46,53.7,67.52,101,110486,63,6.5,R,"English, Russian",USA,"Josh Heald (screenplay), Sean Anders (screenplay), John Morris (screenplay), Josh Heald (story)",Steve Pink,"Adventure, Comedy, Sci-Fi","A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born."
2010,Kick-Ass,notalk,fail,29.91,51.35,104.18,117,324419,66,7.8,R,English,"UK, USA","Jane Goldman (screenplay), Matthew Vaughn (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)",Matthew Vaughn,"Action, Comedy","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so."
2010,Let Me In,notalk,fail,21.36,12.96,30.2,116,69576,79,7.2,R,English,"UK, USA","Matt Reeves (screenplay), John Ajvide Lindqvist (screenplay), John Ajvide Lindqvist (novel)",Matt Reeves,"Drama, Horror, Mystery",A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.
2010,Shrek Forever After,notalk,fail,176.26,255.03,807.84,93,99108,58,6.4,PG,English,USA,"William Steig (book), Josh Klausner, Darren Lemke",Mike Mitchell,"Animation, Adventure, Comedy",Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpel rules supreme.
2010,Shutter Island,notalk,fail,85.46,136.75,317.08,138,494572,63,8.1,R,"English, German",USA,"Laeta Kalogridis (screenplay), Dennis Lehane (novel)",Martin Scorsese,"Drama, Mystery, Thriller","In 1954, U.S. Marshal Teddy Daniels is investigating the disappearance of a murderess who escaped from a hospital for the criminally insane and is presumed to be hiding nearby."
2010,Submarine,notalk,fail,2.03,0.5,4.89,97,43953,76,7.3,R,English,"UK, USA","Richard Ayoade, Joe Dunthorne (novel)",Richard Ayoade,"Comedy, Drama, Romance","15-year-old Oliver Tate has two objectives: To lose his virginity before his next birthday, and to extinguish the flame between his mother and an ex-lover who has resurfaced in her life."
2010,Super,notalk,fail,2.67,0.35,0.55,96,47722,50,6.8,R,English,USA,James Gunn,James Gunn,"Comedy, Drama","After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, though he lacks for heroic skills."
2010,Takers,notalk,fail,34.18,61.68,75.4,107,37192,45,6.2,PG-13,English,USA,"Peter Allen, Gabriel Casseus, John Luessenhop, Avery Duff",John Luessenhop,"Action, Crime, Thriller",A group of bank robbers find their multi-million dollar plan interrupted by a hard-boiled detective.
2010,The Expendables,notalk,fail,87.6,110.1,286.57,103,194645,45,6.5,R,"English, Spanish",USA,"Dave Callaham (screenplay), Sylvester Stallone (screenplay), Dave Callaham (story)",Sylvester Stallone,"Action, Adventure, Thriller",A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.
2010,The Killer Inside Me,notalk,fail,13.89,0.23,3.86,109,23818,NA,6.2,R,English,"USA, Sweden, UK, Canada","John Curran, Jim Thompson (novel)",Michael Winterbottom,"Crime, Drama, Thriller",A West Texas deputy sheriff is slowly unmasked as a psychotic killer.
2010,The Last Airbender,notalk,fail,160.23,140.76,341.53,103,90712,20,4.4,PG,English,USA,M. Night Shyamalan,M. Night Shyamalan,"Action, Adventure, Family","The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations."
2010,The Losers,notalk,fail,26.71,25.2,28.54,97,62441,44,6.4,PG-13,English,USA,"Peter Berg (screenplay), James Vanderbilt (screenplay), Andy Diggle (characters)",Sylvain White,"Action, Crime, Drama","A CIA special forces team are betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA."
2010,The Social Network,notalk,fail,42.73,103.58,240.27,120,335226,95,7.8,PG-13,"English, French",USA,"Aaron Sorkin (screenplay), Ben Mezrich (book)",David Fincher,"Biography, Drama","Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the cofounder who was later squeezed out of the business."
2010,The Town,notalk,fail,39.52,98.48,162.98,125,222873,74,7.6,R,English,USA,"Peter Craig (screenplay), Ben Affleck (screenplay), Aaron Stockard (screenplay), Chuck Hogan (novel)",Ben Affleck,"Crime, Drama, Thriller","As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the FBI agent looking to bring him and his crew down."
2010,The Wolfman,notalk,fail,160.23,66.43,152.37,103,78000,43,5.8,R,"English, Romanian",USA,"Andrew Kevin Walker (screenplay), David Self (screenplay), Curt Siodmak",Joe Johnston,"Drama, Horror, Thriller","Upon his return to his ancestral homeland, an American man is bitten, and subsequently cursed by, a werewolf."
2010,Dear John,nowomen,fail,26.71,85.47,118.96,108,60595,43,6.2,PG-13,English,USA,"Jamie Linden (screenplay), Nicholas Sparks (novel)",Lasse Hallström,"Drama, Romance, War",A romantic drama about a soldier who falls for a conservative college student while he's home on leave.
2010,Dylan Dog: Dead of Night,nowomen,fail,21.36,1.27,6.51,107,11055,31,5.2,PG-13,English,USA,"Thomas Dean Donnelly, Joshua Oppenheimer, Tiziano Sclavi (comic book series ""Dylan Dog"")",Kevin Munroe,"Comedy, Horror, Mystery","The adventures of supernatural private eye, Dylan Dog, who seeks out the monsters of the Louisiana bayou in his signature red shirt, black jacket, and blue jeans."
2010,Faster,nowomen,fail,12.82,24.83,38.09,98,65873,44,6.5,R,English,USA,"Tony Gayton, Joe Gayton",George Tillman Jr.,"Action, Crime, Drama","An ex-con sets out to avenge his brother's death after they were double-crossed during a heist years ago. During his campaign, however, he's tracked by a veteran cop and an egocentric hit man."
2010,Green Zone,nowomen,fail,106.82,37.92,104.18,115,90441,63,6.9,R,"English, Arabic","France, USA, Spain, UK","Brian Helgeland, Rajiv Chandrasekaran (book)",Paul Greengrass,"Action, Drama, Thriller",Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.
2010,Megamind,nowomen,fail,138.87,158.54,343.85,95,121511,63,7.3,PG,English,USA,"Alan J. Schoolcraft, Brent Simons",Tom McGrath,"Animation, Action, Comedy","The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life."
2010,Monsters,nowomen,fail,0.53,0.25,6.02,94,58491,63,6.4,R,"English, Spanish",UK,Gareth Edwards,Gareth Edwards,"Drama, Sci-Fi, Thriller",Six years after Earth has suffered an alien invasion a cynical journalist agrees to escort a shaken American tourist through an infected zone in Mexico to the safety of the US border.
2010,Predators,nowomen,fail,42.73,55.55,135.92,107,137701,51,6.4,R,"English, Spanish, Russian",USA,"Alex Litvak, Michael Finch, Jim Thomas (characters), John Thomas (characters)",Nimród Antal,"Action, Adventure, Sci-Fi",A group of elite warriors are hunted by members of a merciless alien race known as Predators.
2010,Prince of Persia: The Sands of Time,nowomen,fail,213.65,96.95,357.92,116,167050,50,6.6,PG-13,English,USA,"Boaz Yakin (screenplay), Doug Miro (screenplay), Carlo Bernard (screenplay), Jordan Mechner (screen story), Jordan Mechner (video game series ""Prince of Persia"")",Mike Newell,"Action, Adventure, Fantasy",A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.
2010,The A-Team,nowomen,fail,117.51,82.49,189.33,117,167381,47,6.8,PG-13,"English, Spanish, French, Swahili, German",USA,"Joe Carnahan, Brian Bloom, Skip Woods, Frank Lupo (television series ""The A-Team""), Stephen J. Cannell (television series ""The A-Team"")",Joe Carnahan,"Action, Adventure, Comedy","A group of Iraq War veterans looks to clear their name with the U.S. military, who suspect the four men of committing a crime for which they were framed."
2010,The Illusionist,nowomen,fail,17.63,42.59,89.51,80,22721,82,7.5,PG,"English, French, Scottish Gaelic","UK, France","Sylvain Chomet (adaptation), Jacques Tati (original screenplay)",Sylvain Chomet,"Animation, Drama, Fantasy","A French illusionist finds himself out of work and travels to Scotland, where he meets a young woman. Their ensuing adventure changes both their lives forever."
2010,The Other Guys,nowomen,fail,106.82,127.35,182.6,107,139436,64,6.6,PG-13,English,USA,"Adam McKay, Chris Henchy",Adam McKay,"Action, Comedy, Crime",Two mismatched New York City detectives seize an opportunity to step up like the city's top cops whom they idolize -- only things don't quite go as planned.
2010,The Tourist,nowomen,fail,106.82,72.25,297.75,103,128663,37,6,PG-13,"English, French, Italian, Russian, Spanish","USA, France, Italy","Florian Henckel von Donnersmarck (screenplay), Christopher McQuarrie (screenplay), Julian Fellowes (screenplay), Jérôme Salle (motion picture ""Anthony Zimmer"")",Florian Henckel von Donnersmarck,"Action, Romance, Thriller","Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path."
2010,Yogi Bear,nowomen,fail,85.46,107.09,216.09,80,13074,35,4.5,PG,English,"USA, New Zealand","J.R. Ventimilia, Joshua Sternin, Brad Copeland",Eric Brevig,"Animation, Adventure, Comedy","A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo, and Ranger Smith."
2010,Alice in Wonderland,pass,pass,213.65,356.99,1094.29,108,227332,53,6.5,PG,English,USA,"Linda Woolverton (screenplay), Lewis Carroll (books)",Tim Burton,"Adventure, Family, Fantasy","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
2010,Another Year,pass,pass,8.55,3.42,19.77,129,19387,80,7.3,PG-13,English,UK,Mike Leigh,Mike Leigh,"Comedy, Drama",A look at four seasons in the lives of a happily married couple and their relationships with their family and friends.
2010,Black Swan,pass,pass,13.89,114.25,353.87,108,413135,79,8.1,R,"English, French, Italian",USA,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)",Darren Aronofsky,"Drama, Mystery, Thriller","A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan."
2010,Burlesque,pass,pass,58.75,42.13,95.77,119,46865,47,6.3,PG-13,English,USA,Steve Antin,Steve Antin,"Drama, Musical, Romance",A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.
2010,Conviction,pass,pass,13.35,7.26,10.82,107,27841,61,7.2,R,English,USA,Pamela Gray,Tony Goldwyn,"Biography, Drama","A working mother puts herself through law school in an effort to represent her brother, who has been wrongfully convicted of murder and has exhausted his chances to appeal his conviction through public defenders."
2010,Country Strong,pass,pass,16.02,21.6,21.95,117,12413,45,6.3,PG-13,English,USA,Shana Feste,Shana Feste,"Drama, Music","A rising country-music songwriter works with a fallen star to work their way fame, causing romantic complications along the way."
2010,Date Night,pass,pass,58.75,105.45,162.66,88,102062,56,6.3,PG-13,"English, Hebrew",USA,Josh Klausner,Shawn Levy,"Comedy, Crime, Romance","In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous."
2010,Despicable Me,pass,pass,73.71,268.68,580.58,95,241480,72,7.7,PG,English,USA,"Cinco Paul (screenplay), Ken Daurio (screenplay), Sergio Pablos (story)","Pierre Coffin, Chris Renaud","Animation, Comedy, Crime","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
2010,Devil,pass,pass,10.68,35.98,67.68,80,82073,44,6.3,PG-13,"English, Ukrainian, Spanish",USA,"Brian Nelson (screenplay), M. Night Shyamalan (story)",John Erick Dowdle,"Horror, Mystery, Thriller",A group of people are trapped in an elevator and the Devil is mysteriously amongst them.
2010,Diary of a Wimpy Kid,pass,pass,16.02,68.37,82.21,94,24068,56,6.2,PG,English,USA,"Jackie Filgo (screenplay), Jeff Filgo (screenplay), Gabe Sachs (screenplay), Jeff Judah (screenplay), Jeff Kinney (book)",Thor Freudenthal,"Comedy, Family",Live-action adaptation of Jeff Kinney's illustrated novel about a wise-cracking sixth grade student.
2010,Easy A,pass,pass,8.55,62.39,81.4,92,182792,72,7.2,PG-13,English,USA,Bert V. Royal,Will Gluck,"Comedy, Romance",A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.
2010,Fair Game,pass,pass,53.41,12.28,27.88,108,31841,69,6.8,PG-13,"English, Arabic, French","USA, United Arab Emirates","Jez Butterworth (screenplay), John-Henry Butterworth (screenplay), Joseph Wilson (book), Valerie Plame Wilson (book)",Doug Liman,"Biography, Drama, Thriller",CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.
2010,For Colored Girls,pass,pass,22.43,40.3,40.61,133,5276,50,5.8,R,English,USA,"Tyler Perry (screenplay), Ntozake Shange (play)",Tyler Perry,Drama,"Each of the women portray one of the characters represented in the collection of twenty poems, revealing different issues that impact women in general and women of color in particular."
2010,Going the Distance,pass,pass,34.18,19.02,42.72,102,41809,51,6.4,R,English,USA,Geoff LaTulippe,Nanette Burstein,"Comedy, Romance",A romantic comedy centered on a guy and a gal who try to keep their love alive as they shuttle back and forth between New York and San Francisco to see one another.
2010,Grown Ups,pass,pass,80.12,173.05,290.8,102,130952,30,5.9,PG-13,"English, Spanish",USA,"Adam Sandler, Fred Wolf",Dennis Dugan,Comedy,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
2010,Harry Potter and the Deathly Hallows: Part 1,pass,pass,133.53,316.18,1021.66,146,234235,65,7.7,PG-13,English,"UK, USA","Steve Kloves (screenplay), J.K. Rowling (novel)",David Yates,"Adventure, Family, Fantasy","As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows."
2010,How to Train Your Dragon,pass,pass,176.26,232.43,528.64,98,284039,74,8.2,PG,English,USA,"William Davies (screenplay), Dean DeBlois (screenplay), Chris Sanders (screenplay), Cressida Cowell (book)","Dean DeBlois, Chris Sanders","Animation, Adventure, Comedy","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
2010,Insidious,pass,pass,1.6,57.69,106.69,103,123032,52,6.8,PG-13,English,"USA, Canada",Leigh Whannell,James Wan,"Horror, Thriller",A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.
2010,Iron Man 2,pass,pass,181.6,333.75,666.11,124,337808,57,7.1,PG-13,"English, French, Russian",USA,"Justin Theroux (screenplay), Stan Lee (Marvel comic book), Don Heck (Marvel comic book), Larry Lieber (Marvel comic book), Jack Kirby (Marvel comic book)","Jon Favreau, Kenneth Branagh","Action, Adventure, Sci-Fi","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
2010,Legion,pass,pass,27.77,42.91,73.55,100,63773,32,5.1,R,English,USA,"Peter Schink, Scott Stewart",Scott Stewart,"Action, Fantasy, Horror",A group of strangers fight for the welfare of humanity.
2010,Machete,pass,pass,13.35,28.41,47.36,105,137848,60,6.7,R,"English, Spanish, Hungarian",USA,"Robert Rodriguez, Álvaro Rodríguez","Ethan Maniquis, Robert Rodriguez","Action, Crime, Thriller","After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss."
2010,Morning Glory,pass,pass,42.73,33.13,64.14,107,46999,57,6.5,PG-13,"English, Ukrainian",USA,Aline Brosh McKenna,Roger Michell,"Comedy, Drama, Romance",An upstart television producer accepts the challenge of reviving a struggling morning show program with warring co-hosts.
2010,Never Let Me Go,pass,pass,16.02,2.6,12.29,103,81692,69,7.2,R,English,"UK, USA","Kazuo Ishiguro (novel), Alex Garland (screenplay)",Mark Romanek,"Drama, Romance, Sci-Fi","A love triangle develops between three friends who came of age at a mysterious, secluded boarding school and are destined to lead brief lives."
2010,Paranormal Activity 2,pass,pass,3.2,90.54,189.62,91,62806,53,5.7,R,"English, Spanish",USA,"Michael R. Perry (screenplay), Christopher Landon (screenplay), Tom Pabst (screenplay), Michael R. Perry (story), Oren Peli (film ""Paranormal Activity"")",Tod Williams,Horror,"After experiencing what they think are a series of ""break-ins"", a family sets up security cameras around their home, only to realize that the events unfolding before them are more sinister than they seem."
2010,Please Give,pass,pass,3.2,4.31,4.88,90,8600,78,6.6,R,English,USA,Nicole Holofcener,Nicole Holofcener,"Comedy, Drama","In New York City, a husband and wife butt heads with the granddaughters of the elderly woman who lives in apartment the couple owns."
2010,Rabbit Hole,pass,pass,5.34,2.38,6.24,91,34420,76,7,PG-13,English,USA,"David Lindsay-Abaire (screenplay), David Lindsay-Abaire (based on his play: ""Rabbit Hole"")",John Cameron Mitchell,Drama,Life for a happy couple is turned upside down after their young son dies in an accident.
2010,Ramona and Beezus,pass,pass,16.02,27.95,29.34,103,10806,56,6.7,G,English,USA,"Laurie Craig (screenplay), Nick Pustay (screenplay), Beverly Cleary (novels)",Elizabeth Allen Rosenbaum,"Adventure, Comedy, Family",Follows the misadventures of young grade schooler Ramona Quimby from Beverly Cleary's popular children's book series.
2010,Remember Me,pass,pass,17.09,20.37,60.36,113,82994,40,7.2,PG-13,"English, Chinese",USA,Will Fetters,Allen Coulter,"Drama, Romance","A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder."
2010,Repo Men,pass,pass,34.18,14.89,19.44,111,74403,32,6.3,R,"English, Spanish","USA, Canada","Eric Garcia (screenplay), Garrett Lerner (screenplay), Eric Garcia (novel)",Miguel Sapochnik,"Action, Crime, Sci-Fi","Set in the near future when artificial organs can be bought on credit, it revolves around a man who struggles to make the payments on a heart he has purchased. He must therefore go on the run before said ticker is repossessed."
2010,Salt,pass,pass,138.87,126.38,315.89,100,190682,65,6.4,PG-13,"English, Russian, Korean",USA,Kurt Wimmer,Phillip Noyce,"Action, Crime, Mystery",A CIA agent goes on the run after a defector accuses her of being a Russian spy.
2010,Scott Pilgrim vs. the World,pass,pass,90.8,33.77,51.37,112,200557,69,7.5,PG-13,English,"USA, UK, Canada, Japan","Michael Bacall (screenplay), Edgar Wright (screenplay), Bryan Lee O'Malley (Oni Press graphic novels)",Edgar Wright,"Action, Comedy, Fantasy",Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.
2010,Secretariat,pass,pass,37.39,63.77,64.5,123,16504,61,7.2,PG,English,USA,"Mike Rich, William Nack (book)",Randall Wallace,"Drama, Family, History","Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown."
2010,Tangled,pass,pass,277.74,214.52,626.61,100,175102,71,7.9,PG,English,USA,"Dan Fogelman (screenplay), Jacob Grimm (fairy tale), Wilhelm Grimm (fairy tale), Dean Wellins (additional story)","Nathan Greno, Byron Howard","Animation, Comedy, Family","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
2010,The Back-up Plan,pass,pass,37.39,40.05,80.42,106,31036,34,5.1,PG-13,English,USA,Kate Angelo,Alan Poul,"Comedy, Romance","A romantic comedy centered on a woman who conceives twins through artificial insemination, only to meet the man of her dreams on the very same day."
2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,pass,pass,165.58,111.51,446.72,113,74574,53,6.4,PG,English,USA,"Christopher Markus (screenplay), Stephen McFeely (screenplay), Michael Petroni (screenplay), C.S. Lewis (novel)",Michael Apted,"Adventure, Family, Fantasy","Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world."
2010,The Crazies,pass,pass,20.3,41.79,58.71,101,75288,55,6.6,R,English,"USA, United Arab Emirates","Scott Kosar (screenplay), Ray Wright (screenplay), George A. Romero",Breck Eisner,"Horror, Mystery, Thriller",About the inhabitants of a small Iowa town suddenly plagued by insanity and then death after a mysterious toxin contaminates their water supply.
2010,The Debt,pass,pass,21.36,33.3,49.78,113,46879,65,6.9,R,"English, German, Russian","USA, UK, Hungary, Israel","Matthew Vaughn (screenplay), Jane Goldman (screenplay), Peter Straughan (screenplay), Assaf Bernstein (film ""Ha-Hov""), Ido Rosenblum (film ""Ha-Hov"")",John Madden,"Drama, Thriller","In 1965, three Mossad agents cross into East Berlin to apprehend a notorious Nazi war criminal. Thirty years later, the secrets the agents share come back to haunt them."
2010,The Kids Are All Right,pass,pass,4.27,22.23,38.75,106,90934,86,7.1,R,English,USA,"Lisa Cholodenko, Stuart Blumberg",Lisa Cholodenko,"Comedy, Drama",Two children conceived by artificial insemination bring their father into their family life.
2010,The Last Exorcism,pass,pass,1.92,43.83,74.95,87,33830,63,5.6,PG-13,English,"USA, France","Huck Botko, Andrew Gurland",Daniel Stamm,"Drama, Horror, Thriller",A troubled evangelical minister agrees to let his last exorcism be filmed by a documentary crew.
2010,The Next Three Days,pass,pass,32.05,22.59,71.84,133,113406,52,7.4,PG-13,English,"USA, France","Paul Haggis (screenplay), Fred Cavayé (screenplay), Guillaume Lemans (screenplay)",Paul Haggis,"Crime, Drama, Romance",A married couple's life is turned upside down when the wife is accused of a murder.
2010,The Runaways,pass,pass,10.15,3.82,5.64,106,31874,65,6.6,R,English,USA,"Floria Sigismondi (screenplay), Cherie Currie (book)",Floria Sigismondi,"Biography, Drama, Music",A coming-of-age biopic about '70s teenage band The Runaways.
2010,The Spy Next Door,pass,pass,29.91,25.97,54.46,94,22443,27,5.4,PG,English,USA,"Jonathan Bernstein (screenplay), James Greer (screenplay), Gregory Poirier (screenplay), Jonathan Bernstein (story), James Greer (story)",Brian Levant,"Action, Comedy, Family","Former CIA spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids, who haven't exactly warmed to their mom's beau."
2010,The Tempest,pass,pass,21.36,0.3,0.3,110,4763,43,5.4,PG-13,English,USA,"Julie Taymor (screenplay), William Shakespeare (play)",Julie Taymor,"Comedy, Drama, Fantasy","Shakespeare's epic play is translated from page to screen, with the gender of the main character, Prospero, changed from male to female."
2010,The Twilight Saga: Eclipse,pass,pass,72.64,321.04,747.33,124,144112,58,4.9,PG-13,English,USA,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)",David Slade,"Adventure, Drama, Fantasy","As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob."
2010,True Grit,pass,pass,37.39,182.93,269.49,110,184711,80,7.7,PG-13,English,USA,"Joel Coen (screenplay), Ethan Coen (screenplay), Charles Portis (novel)","Ethan Coen, Joel Coen","Adventure, Drama, Western",A tough U.S. Marshal helps a stubborn young woman track down her father's murderer.
2010,Welcome to the Rileys,pass,pass,10.68,0.16,0.33,110,15740,50,7,R,English,"UK, USA",Ken Hixon,Jake Scott,Drama,"On a business trip to New Orleans, a damaged man seeks salvation by caring for a wayward young woman."
2010,You Again,pass,pass,21.36,27.46,35.08,105,31804,28,5.8,PG,English,USA,Moe Jelline,Andy Fickman,"Comedy, Romance","When a young woman realizes her brother is about to marry the girl who bullied her in high school, she sets out to expose the fiancée's true colors."
2010,You Will Meet a Tall Dark Stranger,pass,pass,16.02,3.47,36.58,98,27427,51,6.3,R,English,"USA, Spain",Woody Allen,Woody Allen,"Comedy, Drama, Romance",Sally's parents' marriage breaks up when her father undergoes a mid-lie crisis and impulsively weds a prostitute as Sally's own marriage also begins to disintegrate.
2011,A Dangerous Method,dubious,fail,20.71,5.91,15.34,99,61249,76,6.5,R,English,"UK, Germany, Canada, Switzerland","Christopher Hampton (screenplay), Christopher Hampton (play), John Kerr (book)",David Cronenberg,"Biography, Drama, Thriller",A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.
2011,Conan the Barbarian,dubious,fail,20.71,39.63,81.94,113,69325,36,5.2,R,English,USA,"Thomas Dean Donnelly, Joshua Oppenheimer, Sean Hood, Robert E. Howard (character of Conan)",Marcus Nispel,"Action, Adventure, Fantasy",A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.
2011,Drive,dubious,fail,15.54,36.31,80.84,100,334747,78,7.9,R,"English, Spanish",USA,"Hossein Amini (screenplay), James Sallis (book)",Nicolas Winding Refn,"Crime, Drama","A mysterious Hollywood stuntman, mechanic and getaway driver lands himself in trouble when he helps out his neighbor."
2011,Fright Night,dubious,fail,31.07,18.95,41.97,106,69493,64,6.4,R,English,USA,"Marti Noxon (screenplay), Tom Holland (story), Tom Holland (film ""Fright Night"")",Craig Gillespie,"Comedy, Horror",A teenager suspects that his new neighbor is a vampire.
2011,Hugo,dubious,fail,186.42,76.5,191.64,126,189943,83,7.6,PG,English,USA,"John Logan (screenplay), Brian Selznick (book)",Martin Scorsese,"Adventure, Drama, Family","Set in 1930s Paris, an orphan who lives in the walls of a train station is wrapped up in a mystery involving his late father and an automaton."
2011,Johnny English Reborn,dubious,fail,46.61,8.6,170.41,101,68398,46,6.3,PG,"English, Mandarin, Swiss German, Cantonese, Russian","USA, France, UK","Hamish McColl (screenplay), William Davies (story), Neal Purvis (characters), Robert Wade (characters)",Oliver Parker,"Adventure, Comedy, Crime",Johnny English goes up against international assassins hunting down the Chinese premier.
2011,Just Go with It,dubious,fail,82.86,106.71,222.65,117,124675,33,6.4,PG-13,English,USA,"Allan Loeb (screenplay), Timothy Dowling (screenplay), I.A.L. Diamond (screenplay), Abe Burrows (stage play), Pierre Barillet (French play), Jean-Pierre Grédy (French play)",Dennis Dugan,"Comedy, Romance","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
